TIME	SSID	RSSI	CHANNEL	TAG
08:42:38:120	SWSGP06	-71	7	0
08:42:38:120	S3GS_0611	-96	6	0
08:42:38:120	TP-LINK_3G	-47	1	0
08:42:38:120	OpenWrt4310	-52	3	0
08:42:39:197	SWSGP06	-62	7	0
08:42:39:197	S3GS_0611	-95	6	0
08:42:39:197	TP-LINK_3G	-42	1	0
08:42:39:197	OpenWrt4310	-52	3	0
08:42:40:259	SWSGP06	-65	7	0
08:42:40:259	TP-LINK_3G	-45	1	0
08:42:40:259	OpenWrt4310	-55	3	0
08:42:41:332	SWSGP06	-64	7	0
08:42:41:332	TP-LINK_3G	-45	1	0
08:42:41:332	OpenWrt4310	-52	3	0
08:42:42:407	SWSGP06	-76	7	0
08:42:42:407	TP-LINK_3G	-46	1	0
08:42:42:407	OpenWrt4310	-48	3	0
08:42:47:154	SWSGP06	-82	7	0
08:42:47:154	S3GS_0611	-98	6	0
08:42:47:154	TP-LINK_3G	-40	1	0
08:42:47:154	OpenWrt4310	-50	3	0
08:42:49:161	SWSGP06	-60	7	0
08:42:49:161	S3GS_0611	-96	6	0
08:42:49:161	TP-LINK_3G	-47	1	0
08:42:49:161	OpenWrt4310	-54	3	0
08:42:50:222	SWSGP06	-58	7	0
08:42:50:222	S3GS_0611	-98	6	0
08:42:50:222	TP-LINK_3G	-37	1	0
08:42:50:222	OpenWrt4310	-54	3	0
08:42:55:154	SWSGP06	-60	7	0
08:42:55:154	S3GS_0611	-96	6	0
08:42:55:154	OpenWrt4310	-52	3	0
08:42:55:154	TP-LINK_3G	-53	1	0
08:42:56:214	SWSGP06	-64	7	0
08:42:56:214	S3GS_0611	-99	6	0
08:42:56:214	TP-LINK_3G	-36	1	0
08:42:56:214	OpenWrt4310	-53	3	0
08:43:03:158	SWSGP06	-63	7	0
08:43:03:158	S3GS_0611	-97	6	0
08:43:03:158	TP-LINK_3G	-40	1	0
08:43:03:158	OpenWrt4310	-58	3	0
08:43:10:156	SWSGP06	-65	7	0
08:43:10:156	TP-LINK_3G	-35	1	0
08:43:10:156	OpenWrt4310	-50	3	0
08:43:11:215	SWSGP06	-62	7	0
08:43:11:215	TP-LINK_3G	-48	1	0
08:43:11:215	OpenWrt4310	-56	3	0
08:43:12:275	SWSGP06	-63	7	0
08:43:12:275	S3GS_0611	-98	6	0
08:43:12:275	TP-LINK_3G	-46	1	0
08:43:12:275	OpenWrt4310	-53	3	0
08:43:13:348	SWSGP06	-58	7	0
08:43:13:348	S3GS_0611	-96	6	0
08:43:13:348	TP-LINK_3G	-43	1	0
08:43:13:348	OpenWrt4310	-53	3	0
08:43:19:162	SWSGP06	-59	7	0
08:43:19:162	S3GS_0611	-95	6	0
08:43:19:162	TP-LINK_3G	-44	1	0
08:43:19:162	OpenWrt4310	-53	3	0
08:43:27:158	SWSGP06	-66	7	0
08:43:27:158	S3GS_0611	-98	6	0
08:43:27:158	OpenWrt4310	-54	3	0
08:43:27:158	TP-LINK_3G	-56	1	0
08:43:28:374	SWSGP06	-80	7	0
08:43:28:374	TP-LINK_3G	-48	1	0
08:43:28:374	OpenWrt4310	-50	3	0
08:43:29:433	OpenWrt4310	-50	3	0
08:43:29:433	TP-LINK_3G	-52	1	0
08:43:31:154	SWSGP06	-81	7	0
08:43:31:154	TP-LINK_3G	-46	1	0
08:43:31:154	OpenWrt4310	-50	3	0
08:43:32:213	SWSGP06	-62	7	0
08:43:32:213	TP-LINK_3G	-47	1	0
08:43:32:213	OpenWrt4310	-59	3	0
08:43:33:270	SWSGP06	-64	7	0
08:43:33:270	TP-LINK_3G	-46	1	0
08:43:33:270	OpenWrt4310	-53	3	0
08:43:34:349	SWSGP06	-61	7	0
08:43:34:349	TP-LINK_3G	-46	1	0
08:43:34:349	OpenWrt4310	-57	3	0
08:43:35:408	SWSGP06	-62	7	0
08:43:35:408	TP-LINK_3G	-45	1	0
08:43:35:408	OpenWrt4310	-47	3	0
08:43:43:161	SWSGP06	-62	7	0
08:43:43:161	S3GS_0611	-98	6	0
08:43:43:161	TP-LINK_3G	-44	1	0
08:43:43:161	OpenWrt4310	-57	3	0
08:43:44:227	SWSGP06	-56	7	0
08:43:44:227	S3GS_0611	-97	6	0
08:43:44:227	TP-LINK_3G	-47	1	0
08:43:44:227	OpenWrt4310	-47	3	0
08:43:45:288	SWSGP06	-61	7	0
08:43:45:288	S3GS_0611	-98	6	0
08:43:45:288	TP-LINK_3G	-44	1	0
08:43:45:288	OpenWrt4310	-49	3	0
08:43:51:161	SWSGP06	-84	7	0
08:43:51:161	TP-LINK_3G	-46	1	0
08:43:51:161	OpenWrt4310	-54	3	0
08:43:52:221	SWSGP06	-67	7	0
08:43:52:221	TP-LINK_3G	-40	1	0
08:43:52:221	OpenWrt4310	-59	3	0
08:43:53:298	SWSGP06	-83	7	0
08:43:53:298	S3GS_0611	-98	6	0
08:43:53:298	TP-LINK_3G	-35	1	0
08:43:53:298	OpenWrt4310	-55	3	0
08:43:59:161	SWSGP06	-64	7	0
08:43:59:161	S3GS_0611	-95	6	0
08:43:59:161	TP-LINK_3G	-42	1	0
08:43:59:161	OpenWrt4310	-52	3	0
08:44:00:221	SWSGP06	-71	7	0
08:44:00:221	TP-LINK_3G	-45	1	0
08:44:00:221	OpenWrt4310	-55	3	0
08:44:07:154	SWSGP06	-68	7	0
08:44:07:154	TP-LINK_3G	-47	1	0
08:44:07:154	OpenWrt4310	-51	3	0
08:44:08:213	SWSGP06	-62	7	0
08:44:08:213	TP-LINK_3G	-37	1	0
08:44:08:213	OpenWrt4310	-55	3	0
08:44:13:154	SWSGP06	-65	7	0
08:44:13:154	S3GS_0611	-99	6	0
08:44:13:154	TP-LINK_3G	-45	1	0
08:44:13:154	OpenWrt4310	-61	3	0
08:44:14:394	SWSGP06	-64	7	0
08:44:14:394	S3GS_0611	-99	6	0
08:44:14:394	TP-LINK_3G	-37	1	0
08:44:14:394	OpenWrt4310	-58	3	0
08:44:15:463	SWSGP06	-59	7	0
08:44:15:463	S3GS_0611	-95	6	0
08:44:15:463	TP-LINK_3G	-40	1	0
08:44:15:463	OpenWrt4310	-52	3	0
08:44:16:523	SWSGP06	-77	7	0
08:44:16:523	S3GS_0611	-99	6	0
08:44:16:523	TP-LINK_3G	-45	1	0
08:44:16:523	OpenWrt4310	-47	3	0
08:44:17:583	SWSGP06	-75	7	0
08:44:17:583	S3GS_0611	-98	6	0
08:44:17:583	TP-LINK_3G	-40	1	0
08:44:17:583	OpenWrt4310	-52	3	0
08:44:24:160	SWSGP06	-71	7	0
08:44:24:160	TP-LINK_3G	-40	1	0
08:44:24:160	OpenWrt4310	-63	3	0
08:44:25:221	SWSGP06	-63	7	0
08:44:25:221	S3GS_0611	-97	6	0
08:44:25:221	TP-LINK_3G	-48	1	0
08:44:25:221	OpenWrt4310	-55	3	0
08:44:26:282	SWSGP06	-83	7	0
08:44:26:282	S3GS_0611	-95	6	0
08:44:26:282	TP-LINK_3G	-51	1	0
08:44:26:282	OpenWrt4310	-65	3	0
08:44:27:348	SWSGP06	-75	7	0
08:44:27:348	S3GS_0611	-97	6	0
08:44:27:348	TP-LINK_3G	-49	1	0
08:44:31:162	SWSGP06	-76	7	0
08:44:31:162	S3GS_0611	-95	6	0
08:44:31:162	TP-LINK_3G	-50	1	0
08:44:31:162	OpenWrt4310	-69	3	0
08:44:34:154	SWSGP06	-66	7	0
08:44:34:154	TP-LINK_3G	-53	1	0
08:44:34:154	OpenWrt4310	-74	3	0
08:44:35:212	SWSGP06	-65	7	0
08:44:35:212	TP-LINK_3G	-57	1	0
08:44:35:212	OpenWrt4310	-64	3	0
08:44:39:161	SWSGP06	-65	7	0
08:44:39:161	TP-LINK_3G	-46	1	0
08:44:39:161	OpenWrt4310	-57	3	0
08:44:40:221	SWSGP06	-84	7	0
08:44:40:221	S3GS_0611	-97	6	0
08:44:40:221	TP-LINK_3G	-45	1	0
08:44:40:221	OpenWrt4310	-63	3	0
08:44:47:154	SWSGP06	-75	7	0
08:44:47:154	TP-LINK_3G	-34	1	0
08:44:47:154	OpenWrt4310	-61	3	0
08:44:55:161	SWSGP06	-62	7	0
08:44:55:161	S3GS_0611	-95	6	0
08:44:55:161	TP-LINK_3G	-40	1	0
08:44:55:161	OpenWrt4310	-56	3	0
08:44:56:221	SWSGP06	-67	7	0
08:44:56:221	TP-LINK_3G	-40	1	0
08:44:56:221	OpenWrt4310	-69	3	0
08:45:03:158	SWSGP06	-78	7	0
08:45:03:158	TP-LINK_3G	-49	1	0
08:45:03:158	OpenWrt4310	-62	3	0
08:45:04:221	SWSGP06	-62	7	0
08:45:04:221	TP-LINK_3G	-57	1	0
08:45:04:221	OpenWrt4310	-64	3	0
08:45:11:161	SWSGP06	-64	7	0
08:45:11:161	TP-LINK_3G	-54	1	0
08:45:11:161	OpenWrt4310	-63	3	0
08:45:16:154	SWSGP06	-70	7	0
08:45:16:154	TP-LINK_3G	-43	1	0
08:45:16:154	OpenWrt4310	-62	3	0
08:45:17:212	SWSGP06	-79	7	0
08:45:17:212	S3GS_0611	-96	6	0
08:45:17:212	TP-LINK_3G	-57	1	0
08:45:17:212	OpenWrt4310	-67	3	0
08:45:18:433	SWSGP06	-61	7	0
08:45:18:433	TP-LINK_3G	-51	1	0
08:45:18:433	OpenWrt4310	-66	3	0
08:45:19:492	SWSGP06	-80	7	0
08:45:19:492	S3GS_0611	-98	6	0
08:45:19:492	TP-LINK_3G	-47	1	0
08:45:19:492	OpenWrt4310	-63	3	0
08:45:27:154	SWSGP06	-66	7	0
08:45:27:154	TP-LINK_3G	-51	1	0
08:45:27:154	OpenWrt4310	-68	3	0
08:45:35:161	SWSGP06	-63	7	0
08:45:35:161	TP-LINK_3G	-42	1	0
08:45:35:161	OpenWrt4310	-71	3	0
08:45:36:220	SWSGP06	-65	7	0
08:45:36:220	TP-LINK_3G	-40	1	0
08:45:36:220	OpenWrt4310	-68	3	0
08:45:37:312	SWSGP06	-63	7	0
08:45:37:312	TP-LINK_3G	-44	1	0
08:45:37:312	OpenWrt4310	-67	3	0
08:45:38:371	SWSGP06	-79	7	0
08:45:38:371	TP-LINK_3G	-37	1	0
08:45:38:371	OpenWrt4310	-65	3	0
08:45:43:154	SWSGP06	-77	7	0
